Learning Rate,Epoch,Loss,Validation Loss
0.0005,76,2533.305419921875,8180.36962890625
0.0005,77,3290.8544921875,9878.7080078125
0.0005,78,3477.171630859375,9445.4013671875
0.0005,79,3443.33642578125,9917.541015625
0.0005,80,3189.61376953125,9079.517578125
0.0005,81,2693.119140625,10197.8408203125
0.0005,82,2371.472412109375,8251.4990234375
0.0005,83,2660.513916015625,8972.38671875
0.0005,84,2490.006591796875,8408.14453125
0.0005,85,2016.1240234375,10524.6650390625
0.0005,86,2661.85595703125,9516.5146484375
0.0005,87,2206.19677734375,8316.416015625
0.0005,88,3131.139404296875,10709.2939453125
0.0005,89,2530.51025390625,9108.3427734375
0.0005,90,2761.03564453125,10431.091796875
0.0005,91,3836.284423828125,8362.7421875
0.0005,92,2237.864501953125,9817.6806640625
0.0005,93,2003.2164306640625,8230.5869140625
0.0005,94,1890.825439453125,7746.0771484375
0.0005,95,1360.353271484375,8202.802734375
0.0005,96,2682.301025390625,8575.451171875
0.0005,97,2749.301513671875,8640.6943359375
0.0005,98,2426.559814453125,8955.72265625
0.0005,99,1898.357421875,7511.8642578125
0.0005,100,2019.0201416015625,8025.24267578125
0.001,1,152739.375,116435.875
0.001,2,86343.3984375,65583.515625
0.001,3,70960.0390625,65807.796875
0.001,4,63782.0859375,55721.578125
0.001,5,55343.42578125,51193.4375
0.001,6,49929.8671875,51796.80078125
0.001,7,44279.8125,44014.31640625
0.001,8,37633.16015625,34281.9453125
0.001,9,29759.958984375,31330.609375
0.001,10,25555.830078125,23646.248046875
0.001,11,23396.40625,24572.943359375
0.001,12,18164.798828125,19662.330078125
0.001,13,17003.673828125,19219.0703125
0.001,14,15836.828125,20435.1953125
0.001,15,12964.8935546875,15653.115234375
0.001,16,11457.5625,14997.3798828125
0.001,17,10699.404296875,14406.1943359375
0.001,18,11483.865234375,12914.892578125
0.001,19,9626.171875,13086.5009765625
0.001,20,8753.6962890625,12556.5517578125
0.001,21,8090.080078125,11696.9853515625
0.001,22,7950.51953125,11793.7197265625
0.001,23,7842.796875,10773.431640625
0.001,24,6558.529296875,9747.6640625
0.001,25,6313.953125,11921.9384765625
0.001,26,6294.07470703125,14271.4990234375
0.001,27,7407.861328125,10459.1806640625
0.001,28,5823.265625,12306.7646484375
0.001,29,6699.1015625,9605.2294921875
0.001,30,5653.6005859375,11053.384765625
0.001,31,5341.09326171875,11158.97265625
0.001,32,5712.83251953125,9383.7392578125
0.001,33,4949.53662109375,10616.076171875
0.001,34,5109.1591796875,10566.8984375
0.001,35,5652.6064453125,9890.8193359375
0.001,36,4354.73486328125,10994.71484375
0.001,37,5004.1953125,8852.98046875
0.001,38,3279.34619140625,7629.22900390625
0.001,39,4194.27734375,8867.2470703125
0.001,40,3330.752685546875,8865.9248046875
0.001,41,4218.9677734375,8209.513671875
0.001,42,6317.873046875,8068.640625
0.001,43,3899.178466796875,10751.734375
0.001,44,3578.783203125,7651.77978515625
0.001,45,3117.856689453125,7709.61669921875
0.001,46,3346.40234375,7760.30908203125
0.001,47,3302.304443359375,9847.888671875
0.001,48,4279.3056640625,15367.7705078125
0.001,49,3764.806396484375,8687.2939453125
0.001,50,2872.754638671875,7384.052734375
0.001,51,3041.340087890625,8032.68798828125
0.001,52,2489.731201171875,7582.91259765625
0.001,53,2892.11767578125,8686.7333984375
0.001,54,2943.69091796875,7943.03564453125
0.001,55,3475.627197265625,7145.4853515625
0.001,56,2429.903076171875,6994.32275390625
0.001,57,2469.99169921875,7292.2509765625
0.001,58,4803.96630859375,8129.55712890625
0.001,59,2930.58544921875,6895.16259765625
0.001,60,2084.38916015625,6663.26416015625
0.001,61,1733.938720703125,6585.5126953125
0.001,62,1561.2349853515625,7292.751953125
0.001,63,2628.864501953125,7105.67041015625
0.001,64,2582.19970703125,7052.19140625
0.001,65,2357.43994140625,6832.04638671875
0.001,66,2227.328125,7060.20751953125
0.001,67,1896.3160400390625,6620.67236328125
0.001,68,2327.255615234375,7444.30712890625
0.001,69,2544.335205078125,6863.1533203125
0.001,70,3045.060302734375,7851.60205078125
0.001,71,1972.099853515625,6635.8564453125
